"id";"Grischun_Display";"Grischun_Search";"Sursilvan_Display";"Sursilvan_Search";"Sutsilvan_Display";"Sutsilvan_Search";"Surmiran_Display";"Surmiran_Search";"Puter_Display";"Puter_Search";"Vallader_Display";"Vallader_Search";"German_Display";"German_Search";"French_Display";"French_Search";"Italian_Display";"Italian_Search";"English_Display";"English_Search";"Conjugation";"Lexical_Class_D";"Lexical_Class_R";"Source_Table_Name";"Source_Table_Row_ID"
1507;"chatschadura, chatschadra";"chatschadura, chatschadra";"catschadura";"catschadura";"catschadura";"catschadura";"catschedra";"catschedra";"chatschedra";"chatschedra";"chatschadra";"chatschadra";"Jägerin";"jägerin";"chasseuse";"chasseuse";"cacciatrice";"cacciatrice";"hunter (f)";"hunter";"";"Nomen (f)";"num feminin";"meinpledari";1190
1508;"chatschar";"chatschar";"catschar";"catschar";"catschar";"catschar";"catscher";"catscher";"chatscher";"chatscher";"chatschar";"chatschar";"jagden";"jagden";"chasser";"chasser";"cacciare";"cacciare";"pester, bother";"pester, bother";"";"Verb";"verb";"meinpledari";1188
1509;"chatschar";"chatschar";"catschar";"catschar";"catschar";"catschar";"catscher";"catscher";"chatscher";"chatscher";"chatschar";"chatschar";"hetzen, antreiben";"hetzen, antreiben";"chasser";"chasser";"cacciare";"cacciare";"pester, bother";"pester, bother";"";"Verb";"verb";"meinpledari";1191
1510;"chatschar";"chatschar";"catschar";"catschar";"catschar";"catschar";"catscher";"catscher";"chatscher";"chatscher";"chatschar";"chatschar";"jagden";"jagden";"chasser";"chasser";"importunare";"importunare";"pester, bother";"pester, bother";"";"Verb";"verb";"meinpledari";1188
1511;"chatschar";"chatschar";"catschar";"catschar";"catschar";"catschar";"catscher";"catscher";"chatscher";"chatscher";"chatschar";"chatschar";"hetzen, antreiben";"hetzen, antreiben";"chasser";"chasser";"importunare";"importunare";"pester, bother";"pester, bother";"";"Verb";"verb";"meinpledari";1191
1512;"chatschar";"chatschar";"catschar";"catschar";"catschar";"catschar";"catscher";"catscher";"chatscher";"chatscher";"chatschar";"chatschar";"jagden";"jagden";"harceler, pourchasser";"harceler, pourchasser";"cacciare";"cacciare";"pester, bother";"pester, bother";"";"Verb";"verb";"meinpledari";1188
1513;"chatschar";"chatschar";"catschar";"catschar";"catschar";"catschar";"catscher";"catscher";"chatscher";"chatscher";"chatschar";"chatschar";"hetzen, antreiben";"hetzen, antreiben";"harceler, pourchasser";"harceler, pourchasser";"cacciare";"cacciare";"pester, bother";"pester, bother";"";"Verb";"verb";"meinpledari";1191
1514;"chatschar";"chatschar";"catschar";"catschar";"catschar";"catschar";"catscher";"catscher";"chatscher";"chatscher";"chatschar";"chatschar";"jagden";"jagden";"harceler, pourchasser";"harceler, pourchasser";"importunare";"importunare";"pester, bother";"pester, bother";"";"Verb";"verb";"meinpledari";1188
1515;"chatschar";"chatschar";"catschar";"catschar";"catschar";"catschar";"catscher";"catscher";"chatscher";"chatscher";"chatschar";"chatschar";"hetzen, antreiben";"hetzen, antreiben";"harceler, pourchasser";"harceler, pourchasser";"importunare";"importunare";"pester, bother";"pester, bother";"";"Verb";"verb";"meinpledari";1191
1516;"chattar";"chattar";"anflar, cattar";"anflar, cattar";"catar";"catar, tgat, catagn, cato, catada";"cattar";"cattar";"chatter";"chatter";"chattar";"chattar";"finden";"finden";"trouver";"trouver";"trovare";"trovare";"find";"find, found";"";"Verb";"verb";"meinpledari";1192
1517;"sa chattar";"sa chattar";"sesanflar, secattar";"sesanflar, secattar";"sacatar";"sacatar";"sa cattar";"sa cattar";"as rechatter";"as rechatter";"as rechattar";"as rechattar";"sich befinden";"sich befinden";"se trouver";"se trouver";"trovarsi";"trovarsi";"be (located)";"located";"";"Verb";"verb";"meinpledari";1193
1518;"chattar la storta";"chattar la storta";"cattar la storta";"cattar la storta";"catar igl stiert";"catar igl stiert";"cattar la stierta";"cattar la stierta";"chatter la stüerta";"chatter la stüerta";"chattar la storta";"chattar la storta";"den Weg finden";"den weg finden";"trouver le chemin/le moyen";"trouver le chemin/le moyen";"trovare il modo";"trovare il modo";"find one's way";"find one's way";"";"Verb";"verb";"meinpledari";1194
1519;"chau, testa";"chau, testa";"tgau, testa";"tgau, testa";"tgieu";"tgieu";"tgea, testa";"tgea, testa";"cho, testa";"cho, testa";"cheu, testa";"cheu, testa";"Kopf";"kopf";"la tête / le chef";"la tête, le chef";"la testa";"la testa";"head";"head";"";"Nomen (m)";"num masculin";"meinpledari";1195
1520;"dar dal chau";"dar dal chau";"dar il tgau";"dar il tgau";"dar digl tgieu";"dar digl tgieu";"dar digl tgea";"dar digl tgea";"der dal cho (da schi)";"der dal cho";"dar dal cheu";"dar dal cheu";"nicken, mit dem Kopf nicken";"nicken, mit dem kopf nicken";"obtempérer du chef, d'un signe de tête";"obtempérer du chef, d'un signe de tête";"annuire";"annuire";"nod (one's head)";"nod";"";"Verb";"verb";"meinpledari";1196
1521;"chaud";"chaud";"cauld";"cauld";"tgòld";"tgòld";"tgod";"tgod";"chod";"chod";"chod";"chod";"warm, heiss";"warm, heiss";"chaud";"chaud";"caldo";"caldo";"hot, warm";"hot, warm";"";"Adjektiv";"adjectiv";"meinpledari";1197
1522;"avair chaud";"avair chaud";"haver cauld";"haver cauld";"ver tgòld";"ver tgòld";"aveir tgod";"aveir tgod";"avair chod";"avair chod";"avair chod";"avair chod";"warm, heiss";"warm, heiss";"avoir chaud";"avoir chaud";"avere caldo";"avere caldo";"feel warm, feel hot";"hot, warm";"";"Adjektiv";"adjectiv";"meinpledari";1198
1523;"chalira";"chalira";"calira";"calira";"calira";"calira";"caleira";"caleira";"chalur";"chalur";"chalur";"chalur";"Hitze, Wärme";"hitze, wärme";"chaleur";"chaleur";"calura";"calura";"heat, warmth";"heat, warmth";"";"Nomen (f)";"num feminin";"meinpledari";1199
1524;"chauma";"chauma";"cauma";"cauma";"tguma, tschover (m)";"tguma";"tgoma";"tgoma";"tschöver (m)";"tschöver";"tschöver (m)";"tschöver";"Streik";"streik";"grève";"grève";"sciopero";"sciopero";"strike";"strike";"";"Nomen (m)";"num feminin";"meinpledari";1200
1525;"chamar, far chauma";"chamar, far chauma";"far cauma";"far cauma";"tgumar";"tgumar, tgama";"tgumar";"tgumar, tgoma";"fer tschöver";"fer tschöver";"far tschöver";"far tschöver";"streiken";"streiken";"faire la grève";"faire la grève";"scioperare";"scioperare";"strike, be (out) on strike";"strike";"";"Verb";"verb";"meinpledari";1201
1526;"chaun";"chaun";"tgaun";"tgaun";"tgàn";"tgàn";"tgang";"tgang";"chaun";"chaun";"chan";"chan";"Hund";"hund";"chien";"chien";"cane";"cane";"dog";"dog";"";"Nomen";"num masculin";"meinpledari";1202
1527;"zila";"zila";"zila";"zila";"tgora, ghiza";"tgora, ghiza";"zila";"zila";"chevra";"chevra";"chavra";"chavra";"Ziege";"ziege";"chèvre";"chèvre";"capra";"capra";"goat";"goat";"";"Nomen (f)";"num feminin";"meinpledari";1203
1528;"chaura";"chaura";"caura";"caura";"tgora, ghiza";"tgora, ghiza";"tgora";"tgora";"chevra";"chevra";"chavra";"chavra";"Ziege";"ziege";"chèvre";"chèvre";"capra";"capra";"goat";"nanny goat";"";"Nomen (f)";"num feminin";"meinpledari";1204
1529;"buc";"buc";"buc";"buc";"buc";"buc";"buc";"buc";"buoch";"buoch";"boc, buoch, bech";"boc, buoch, bech";"Ziegenbock";"ziegenbock";"bouc";"bouc";"becco";"becco";"billy goat, he-goat";"billy goat, he-goat";"";"Nomen (m)";"num masculin";"meinpledari";1205
1530;"ansiel";"ansiel";"ansiel";"ansiel";"ansiel";"ansiel";"ansoul";"ansoul";"uzöl";"uzöl";"usöl";"usöl";"Zicklein";"zicklein";"chevreau";"chevreau";"capretto";"capretto";"kid (m)
baby goat, young goat";"kid, kidz";"";"Nomen (n)";"num masculin";"meinpledari";1206
1531;"ansola";"ansola";"ansola";"ansola";"ansola";"ansola";"ansoula";"ansoula";"uzoula";"uzoula";"usuola";"usuola";"Zicklein, Gitzi, Kitzi";"zicklein, gitzi, kitzi";"chevrette";"chevrette";"";"";"kid (f)
baby goat, young goat";"kid, kidz";"";"Nomen";"num feminin";"meinpledari";1207
1532;"chaussa";"chaussa";"caussa";"caussa";"tgossa";"tgossa";"tgossa";"tgossa";"chosa";"chosa";"chosa";"chosa";"Sache / Ding";"sache, ding";"chose";"chose";"cosa";"cosa";"thing";"thing";"";"Nomen (f) / Nomen (n)";"num feminin";"meinpledari";1208
1533;"chau-staziun";"chau-staziun";"caustaziun";"caustaziun";"tgieustaziùn";"tgieustaziùn";"capo-staziun";"capo-staziun";"cho d'staziun";"cho d'staziun";"cheu d'staziun";"cheu d'staziun";"Bahnhofsvorsteher, Bahnhofvorstand";"bahnhofsvorsteher, bahnhofvorstand";"chef de gare";"chef de gare";"capostazione";"capostazione";"station master";"station master";"";"Nomen (m)";"num masculin";"meinpledari";1209
1534;"chau-staziun";"chau-staziun";"caustaziun";"caustaziun";"tgieustaziùn";"tgieustaziùn";"capo-staziun";"capo-staziun";"cho d'staziun";"cho d'staziun";"cheu d'staziun";"cheu d'staziun";"Bahnhofsvorsteherin";"bahnhofsvorsteherin";"";"";"capostazione";"capostazione";"station master";"station master";"";"Nomen (m)";"num feminin";"meinpledari";1210
1535;"chautscha-chaltschiel";"chautscha-chaltschiel";"caultschas-caltschiel";"caultschas-caltschiel";"tgòltscha-caltschiel";"tgòltscha-caltschiel";"tgotschas-caltschoul";"tgotschas-caltschoul";"chotschas d'stinv, stinvellas";"chotschas d'stinv, stinvellas";"chotschölas, chatschölas, chotschas d'stinv, stinvettas";"chatschölas, chotschölas, chotschas d'stinv, stinvettas";"Strumpfhose";"strumpfhose";"bas (les)";"bas";"collant";"collant";"tights";"tights";"";"Nomen (f)";"num feminin";"meinpledari";1211
1536;"chautschas";"chautschas";"caultschas";"caultschas";"tgòltschas";"tgòltschas";"tgotschas";"tgotschas";"chotschas";"chotschas";"chotschas";"chotschas";"Hose";"hose";"pantalons";"pantalons";"pantaloni";"pantaloni";"trousers";"trousers";"";"Nomen (f)";"num feminin plural";"meinpledari";1212
1537;"chautschetta";"chautschetta";"caultschettas";"caultschettas";"tgoltscheta";"tgoltscheta";"tgotschigna";"tgotschigna";"chotschinas";"chotschinas";"chotschinas";"chotschinas";"Höschen";"höschen";"petits pantalons";"petits pantalons";"mutandine (da donna)";"mutandine";"knickers";"knickers";"";"Nomen";"num feminin plural";"meinpledari";1213
1538;"chavadè, mamilla";"chavadè, mamilla";"cavadi
(pl: cavadials)";"cavadi, cavadials";"tgavadi
(pl: tgavadeals)";"tgavadi,: tgavadeals";"tgavadel";"tgavadel";"chavdè";"chavdè";"chavadè";"chavadè";"Brustwarze";"brustwarze";"mamelon";"mamelon";"capezzolo";"capezzolo";"nipple";"nipple";"";"Nomen (f)";"num masculin";"meinpledari";1214
1539;"chaval";"chaval";"cavagl
(pl: cavals)";"cavagl, cavals";"tgavagl, cavagl";"tgavagl, cavagl";"tgaval";"tgaval";"chavagl";"chavagl";"chavagl (pl: chavals)";"chavagl, chavals";"Pferd";"pferd";"cheval";"cheval";"cavallo";"cavallo";"horse";"horse";"";"Nomen (n)";"num masculin";"meinpledari";1215
1540;"chaval";"chaval";"cavagl
pl: cavals";"cavagl, cavals";"tgavagl";"tgavagl";"tgavagl";"tgavagl";"chavagl";"chavagl";"chavagl";"chavagl";"Springer, Pferd";"springer, pferd";"chevalier";"chevalier";"cavallo";"cavallo";"knight";"knight";"";"Nomen";"num masculin";"meinpledari";1216
1541;"chalzer-chaval";"chalzer-chaval";"pei-cavagl";"pei-cavagl";"calzer-tgaval";"calzer-tgaval";"calzer-tgaval";"calzer-tgaval";"pè da chavagl";"pè da chavagl";"pè da chavagl";"pè da chavagl";"Pferdefuss";"pferdefuss";"sabot";"sabot";"zoccolo";"zoccolo";"horse's hoof";"horse's hoof";"";"Nomen (m)";"num masculin";"meinpledari";1217
1542;"ir a chaval";"ir a chaval";"ir a cavagl";"ir a cavagl";"ir a tgaval";"ir a tgaval";"eir a tgavagl";"eir a tgavagl";"ir a chavagl";"ir a chavagl";"ir a sella";"ir a sella";"reiten";"reiten";"aller à cheval";"aller à cheval";"cavalcare";"cavalcare";"ride (on horseback)";"ride";"";"Verb";"verb";"meinpledari";1218
1543;"ir a chaval";"ir a chaval";"ir a cavagl";"ir a cavagl";"ir a tgavagl";"ir a tgavagl";"eir a tgavagl";"eir a tgavagl";"ir a chavagl, ir a sella";"ir a chavagl";"ir a chavagl";"ir a chavagl";"reiten";"reiten";"";"";"andare a cavallo";"andare a cavallo";"horse riding";"horse riding";"";"Verb";"verb";"meinpledari";1219
1544;"chavel";"chavel";"cavegl
(pl: cavels)";"cavegl, cavels";"tgavel";"tgavel, cavel";"tgavel";"tgavel";"chavè (pl: chavels)";"chavè, chavels";"chavè (pl: chavels)";"chavè, chavels";"Haar";"haar";"cheveu, la chevelure";"cheveu, la chevelure";"capelli";"capelli";"hair";"hair";"";"Nomen (n)";"num masculin";"meinpledari";1220
1545;"far (si) ils chavels, far si chavels";"far si ils chavels, far ils chavels, far si chavels";"far si (ils) cavels, far ses cavels";"far si ils cavels, far ses cavels";"sascultrir";"sascultrir";"far se tgavels, sa sfaltreir,";"sa sfaltreir, far se tgavels";"as petner";"as petner";"as petnar";"as petnar";"sich kämmen, die Haare kämmen";"sich kämmen, die haare kämmen";"se peigner";"se peigner";"pettinarsi";"pettinarsi";"comb one's hair";"comb one's hair";"FAR

Preschent:
jau fatsch
ti fas
el/ella/ins fa
nus faschain
vus faschais
els/ellas fan 

Futur:
jau vegn a far
ti vegns a far
el/ella/ins vegn a far
nus vegnin a far
vus vegnis a far
els/ellas vegnan a far 

Imperfect:
jau fascheva
ti faschevas
el/ella/ins fascheva
nus faschevan
vus faschevas
els/ellas faschevan

Particip perfect
fatg (f: fatga, mpl: fatgs, fpl: fatgas)

Perfect:
jau hai fatg
ti has fatg
el/ella/ins ha fatg
nus avain fatg
vus avais fatg
els/ellas han fatg

Cundiziunal:
jau faschess
ti faschessas
el/ella/ins faschess
nus faschessan
vus faschessas
els/ellas faschessan

Conjunctiv:
che jau fetschia
che ti fetschias
ch'el/ella/ins fetschia
che nus fetschian
che vus fetschias
ch'els/ellas fetschian

Imperativ:
fa!
faschai!

Gerundi:
faschond";"Verb";"verb";"meinpledari";1221
1546;"tatona / chavez";"chaveztatona, chavez";"cavez";"cavez";"tatona";"tatona";"tutona";"tutona";"nusch da culöz";"nusch da culöz";"nusch da culöz";"nusch da culöz";"Genick";"genick";"nuque";"nuque";"nuca";"nuca";"nape (of the neck), back of the neck";"nape, neck";"";"Nomen (n)";"num feminin / num masculin";"meinpledari";1222
1547;"chavriel";"chavriel";"cavriel (pl: cavreuls)";"cavriel, cavreuls";"tgavriel, cavriel";"tgavriel, cavriel";"tgavroul, caprioul";"tgavroul, caprioul";"chavriöl";"chavriöl";"chavriöl";"chavriöl";"Reh";"reh";"chevreuil";"chevreuil";"capriolo";"capriolo";"roe deer";"roe deer";"";"Nomen (n)";"num masculin";"meinpledari";1223
1548;"buc da chavriel";"buc da chavriel";"buc da cavriel";"buc da cavriel";"tgavriel";"tgavriel, cavriel";"tgavroul, ghiz";"tgavroul, ghiz";"chavriöl";"chavriöl";"chavriöl";"chavriöl";"Rehbock";"rehbock";"chevreuil mâle";"chevreuil mâle";"cervo";"cervo";"stag";"stag";"";"Nomen (m)";"num feminin";"meinpledari";1224
1549;"chavrola";"chavrola";"cavrola";"cavrola";"tgora tgavriel";"tgora tgavriel";"tgavroula";"tgavroula";"chavrioula";"chavrioula";"chavrioula";"chavrioula";"Rehgeis";"rehgeis";"chevreuil femelle";"chevreuil femelle";"";"";"doe";"doe";"";"Nomen";"num feminin";"meinpledari";1225
1550;"chaz";"chaz";"caz";"caz";"tgaz";"tgaz";"tgaz";"tgaz";"chaz";"chaz";"chaz";"chaz";"Schöpflöffel";"schöpflöffel";"louche";"louche";"mestolo";"mestolo";"ladle";"ladle";"";"Nomen";"num masculin";"meinpledari";1226
1551;"chazzetta";"chazzetta";"cazzetta";"cazzetta";"cazeta, padeala";"cazeta, padeala";"padela";"padela";"padella";"padella";"test (m)";"test";"Pfanne";"pfanne";"poêle, casserole";"poêle, casserole";"pentola";"pentola";"pan";"pan";"";"Nomen (f)";"num feminin";"meinpledari";1227
1552;"che";"che";"che";"che";"ca";"ca";"tgi";"tgi";"cu";"cu";"co";"co";"als";"als";"que";"que";"che";"che";"than";"than";"";"Konjunktion";"conjuncziun";"meinpledari";1228
1553;"chemicist";"chemicist";"chemista";"chemist";"cemizist";"cemizist";"chemicist";"chemicist";"chemiker";"chemiker";"chemiker";"chemiker";"Chemiker";"chemiker";"chimiste";"chimiste";"chimico";"chimico";"chemist (m)";"chemist";"";"Nomen (m)";"num masculin";"meinpledari";1229
1554;"chemicista";"chemicista";"chemista";"chemista";"cemizista";"cemizista";"chemicista";"chemicista";"chemicra";"chemicra";"chemicra";"chemicra";"Chemikerin";"chemikerin";"chimiste";"chimiste";"chimica";"chimica";"chemist (f)";"chemist";"";"Nomen (f)";"num feminin";"meinpledari";1230
1555;"cheramica";"cheramica";"cheramica";"cheramica";"ceramica";"ceramica";"cheramica";"cheramica";"keramica";"keramica";"keramica";"keramica";"Keramik";"keramik";"céramique";"céramique";"ceramica";"ceramica";"ceramic";"ceramic";"";"Nomen";"num feminin";"meinpledari";1231
1556;"China";"china";"China";"china";"Cina";"cina";"China";"china";"China";"china";"China";"china";"China";"china";"Chine";"chine";"Cina";"cina";"China";"china";"";"Nomen";"num feminin";"meinpledari";1232
1557;"chinais";"chinais";"chines";"chines";"cines";"cines";"chines";"chines";"chinais";"chinais";"chinais";"chinais";"chinesisch";"chinesisch";"chinois
(f: chinoise)";"chinois, chinoise";"cinese";"cinese";"Chinese";"chinese";"";"Adjektiv";"adjectiv";"meinpledari";1234
1558;"Chinais";"chinais";"Chines";"chines";"Cines";"cines";"Chines";"chines";"Chinais";"chinais";"Chinais";"chinais";"Chinese";"chinese";"Chinois";"chinois";"cinese";"cinese";"Chinese (language)";"chinese";"";"Nomen (m)";"num masculin";"meinpledari";1233
1559;"chinais";"chinais";"chines";"chines";"cines";"cines";"chines";"chines";"chinais";"chinais";"chinais";"chinais";"Chinesisch";"chinesisch";"Chinois";"chinois";"cinese";"cinese";"Chinese (language)";"chinese";"";"Nomen";"num masculin";"meinpledari";1235
1560;"Chinais";"chinais";"Chines";"chines";"Cines";"cines";"Chines";"chines";"Chinais";"chinais";"Chinais";"chinais";"Chinese";"chinese";"chinois, mandarin (langue)";"chinois, mandarin";"cinese";"cinese";"Chinese (language)";"chinese";"";"Nomen (m)";"num masculin";"meinpledari";1233
1561;"chinais";"chinais";"chines";"chines";"cines";"cines";"chines";"chines";"chinais";"chinais";"chinais";"chinais";"Chinesisch";"chinesisch";"chinois, mandarin (langue)";"chinois, mandarin";"cinese";"cinese";"Chinese (language)";"chinese";"";"Nomen";"num masculin";"meinpledari";1235
1562;"Chinais";"chinais";"Chines";"chines";"Cines";"cines";"Chines";"chines";"Chinais";"chinais";"Chinais";"chinais";"Chinese";"chinese";"Chinois";"chinois";"cinese";"cinese";"Chinese (man)";"chinese man";"";"Nomen (m)";"num masculin";"meinpledari";1233
1563;"chinais";"chinais";"chines";"chines";"cines";"cines";"chines";"chines";"chinais";"chinais";"chinais";"chinais";"Chinesisch";"chinesisch";"Chinois";"chinois";"cinese";"cinese";"Chinese (man)";"chinese man";"";"Nomen";"num masculin";"meinpledari";1235
1564;"Chinais";"chinais";"Chines";"chines";"Cines";"cines";"Chines";"chines";"Chinais";"chinais";"Chinais";"chinais";"Chinese";"chinese";"chinois, mandarin (langue)";"chinois, mandarin";"cinese";"cinese";"Chinese (man)";"chinese man";"";"Nomen (m)";"num masculin";"meinpledari";1233
1565;"chinais";"chinais";"chines";"chines";"cines";"cines";"chines";"chines";"chinais";"chinais";"chinais";"chinais";"Chinesisch";"chinesisch";"chinois, mandarin (langue)";"chinois, mandarin";"cinese";"cinese";"Chinese (man)";"chinese man";"";"Nomen";"num masculin";"meinpledari";1235
1566;"Chinaisa";"chinaisa";"Chinesa";"chinesa";"Cinesa";"cinesa";"Chinesa";"chinesa";"Chinaisa";"chinaisa";"Chinaisa";"chinaisa";"Chinesin";"chinesin";"Chinoise";"chinoise";"cinese";"cinese";"Chinese (woman)";"chinese woman";"";"Nomen (f)";"num feminin";"meinpledari";1236
1567;"chirurg";"chirurg";"chirurg";"chirurg";"cirurg";"cirurg";"chirurg";"chirurg";"chirurg";"chirurg";"chirurg";"chirurg";"Chirurg";"chirurg";"chirurgien";"chirurgien";"chirurgo";"chirurgo";"surgeon (m)";"surgeon";"";"Nomen (m)";"num masculin";"meinpledari";1237
1568;"chirurga";"chirurga";"chirurga";"chirurga";"cirurga";"cirurga";"chirurga";"chirurga";"chirurga";"chirurga";"chirurga";"chirurga";"Chirurgin";"chirurgin";"chirurgienne";"chirurgienne";"";"";"surgeon (f)";"surgeon";"";"Nomen (f)";"num feminin";"meinpledari";1238
1569;"chirurgia";"chirurgia";"chirurgia";"chirurgia";"cirurgeia";"cirurgeia";"chirurgia";"chirurgia";"chirurgia";"chirurgia";"chirurgia";"chirurgia";"Chirurgie";"chirurgie";"chirurgie";"chirurgie";"chirurgia";"chirurgia";"surgery";"surgery";"";"Nomen (f)";"num feminin";"meinpledari";1239
1570;"chista, trucca";"chista, trucca";"chista, trucca";"trucca, chista";"cesta";"cesta";"chista, trocla, tgascha, begl (m)";"chista, trocla, tgascha, begl";"chaista, chascha";"chaista, chascha";"chaista";"chaista";"Kiste, Truhe, Schrankkoffer";"kiste, truhe, schrankkoffer";"caisse";"caisse";"cassa";"cassa";"trunk, chest";"trunk, chest";"";"Nomen";"num feminin";"meinpledari";1240
1571;"chogna";"chogna";"cogna";"cogna";"tgogna";"tgogna";"tganga";"tganga";"chagna";"chagna";"chagna";"chagna";"Hündin";"hündin";"chienne";"chienne";"cagna";"cagna";"bitch";"bitch";"";"Nomen";"num feminin";"meinpledari";1241
1572;"chombra";"chombra";"combra";"combra";"tgombra, (combra)";"combra, tgombra";"tgombra";"tgombra";"chambra";"chambra";"chombra";"chombra";"Kammer";"kammer";"chambre, pièce";"chambre, pièce";"camera";"camera";"chamber";"chamber";"";"Nomen";"num feminin";"meinpledari";1244
1573;"chombra (da durmir)";"chombra da durmir";"combra (da durmir)";"combra da durmir";"tgombra";"combra, tgombra";"tgombra";"tgombra";"staunza, chambra";"staunza, chambra";"chombra";"chombra";"Schlafzimmer";"schlafzimmer";"chambre à coucher";"chambre à coucher";"camera da letto";"camera da letto";"bedroom";"bedroom";"";"Nomen (n)";"num feminin";"meinpledari";1245
1574;"chombra dubla";"chombra dubla";"combra dubla";"combra dubla";"tgombra dubla";"tgombra dubla, combra dubla";"tgombra dobla";"tgombra dobla";"chambra dobla";"chambra dubla";"chombra dubla";"chombra dubla";"Doppelzimmer";"doppelzimmer";"chambre double";"chambre double";"camera doppia";"camera doppia";"double room";"double room";"";"Nomen";"num feminin";"meinpledari";1242
1575;"chombra simpla, chombra d'in letg";"chombra simpla, chombra d'in letg";"combra sempla, combra d'in letg";"combra sempla, combra d'in letg";"tgombra sempla, tgombra singula, stànza singula";"tgombra sempla, tgombra singula, stànza singula";"tgombra simpla, tgombra cun en letg";"tgombra simpla, tgombra cun en letg";"chambra simpla, chambra d'ün let";"chambra simpla, chambra d'ün let";"chombra simpla, chombra d'ün let";"chombra simpla, chombra d'ün let";"Einzelzimmer";"einzelzimmer";"chambre simple, chambre à un lit";"chambre simple, chambre à un lit";"stanza singola";"stanza singola";"single room";"single room";"";"Nomen (n)";"num feminin";"meinpledari";1243
1576;"chomma";"chomma";"comba";"comba";"tgomba";"tgomba";"tgomma";"tgomma";"chamma";"chamma";"chomma";"chomma";"Bein";"bein";"jambe";"jambe";"gamba";"gamba";"leg";"leg";"";"Nomen (n)";"num feminin";"meinpledari";1246
1577;"chonv";"chonv";"coniv";"coniv";"tgonev";"tgonev";"tgoven";"tgoven";"chanv";"chanv";"chanv";"chanv";"Hanf";"hanf";"chanvre";"chanvre";"canapa";"canapa";"hemp";"hemp";"";"Nomen";"num masculin";"meinpledari";1247
1578;"chor";"chor";"chor";"chor";"cor";"cor";"chor";"chor";"cor";"cor";"cor";"cor";"Chor";"chor";"ch?ur";"ch?ur";"coro";"coro";"choir";"choir";"";"Nomen";"num masculin";"meinpledari";1248
1579;"chronologic";"chronologic";"chronologic";"cronologic";"chronologic";"cronologic";"chronologic";"chronologic";"chronologic";"cronologic";"chronologic";"cronologic";"chronologisch";"chronologisch";"chronologique";"chronologique";"cronologico";"cronologico";"chronological";"chronological";"";"Adjektiv";"adjectiv";"meinpledari";1249
1580;"ciao";"ciao, chau";"ciao";"ciao, tgau";"ciao";"ciao, tgau";"ciao";"ciao, tgau";"ciao";"ciao, chau";"ciao";"ciao, chau";"Hallo! Salü!";"hallo! salü!";"ciao! salut! bonjour!";"ciao, salut, bonjour";"ciao";"ciao";"hello, hi";"hello, hi";"";"Nomen";"num masculin";"meinpledari";1250
1581;"cigara";"cigara";"cigara";"cigara";"zigara";"zigara";"cigara";"cigara";"cigara";"cigara";"cigara";"cigara";"Zigarre";"zigarre";"cigare";"cigare";"sigaro";"sigaro";"cigar";"cigar";"";"Nomen (f)";"num feminin";"meinpledari";1251
1582;"cigaretta";"cigaretta";"cigaretta";"cigaretta";"zigareta";"zigareta";"cigaretta";"cigaretta";"cigaretta";"cigaretta";"cigaretta";"cigaretta";"Zigarette";"zigarette";"cigarette";"cigarette";"sigaretta";"sigaretta";"cigarette";"cigarette";"";"Nomen (f)";"num feminin";"meinpledari";1252
1583;"cign";"cign";"cign";"cign";"zign";"zign";"cign";"cign";"cign";"cign";"cign";"cign";"Schwan";"schwan";"cygne";"cygne";"cigno";"cigno";"swan";"swan";"";"Nomen (m)";"num masculin";"meinpledari";1253
1584;"Cipra";"cipra";"Cipra";"cipra";"Zipra";"zipra";"Cipra";"cipra";"Cipra";"cipra";"Cipra";"cipra";"Zypern";"zypern";"Chypre";"chypre";"Cipro";"cipro";"Cyprus";"cyprus";"";"Nomen";"num feminin";"meinpledari";1254
1585;"Cipriot";"cipriot";"Cipriot";"cipriot";"Zipriot";"zipriot";"Cipriot";"cipriot";"Cipriot";"cipriot";"Cipriot";"cipriot";"Zypriot";"zypriot";"Chypriote";"chypriote";"cipriota";"cipriota";"Cypriot (man)";"cypriot";"";"Nomen (m)";"num masculin";"meinpledari";1255
1586;"Cipriota";"cipriota";"Cipriota";"cipriota";"Zipriota";"zipriota";"Cipriota";"cipriota";"Cipriota";"cipriota";"Cipriota";"cipriota";"Zypriotin";"zypriotin";"Chypriote";"chypriote";"cipriota";"cipriota";"Cypriot (woman)";"cypriot";"";"Nomen (f)";"num feminin";"meinpledari";1256
1587;"cipriot";"cipriot";"cipriot";"cipriot";"zipriot";"zipriot";"cipriot";"cipriot";"cipriot";"cipriot";"cipriot";"cipriot";"zypriotisch";"zypriotisch";"chypriote";"chypriote";"cipriota";"cipriota";"Cypriot";"cypriot";"";"Adjektiv";"adjectiv";"meinpledari";1257
1588;"cipressa";"cipressa";"cipressa";"cipressa";"zipressa";"zipressa";"cipressa";"cipressa";"cipressa";"cipressa";"cipressa";"cipressa";"Zypresse";"zypresse";"cyprès";"cyprès";"cipresso";"cipresso";"cypress";"cypress";"";"Nomen (f)";"num feminin";"meinpledari";1258
1589;"circa";"circa";"circa";"circa";"zirca";"zirca";"circa";"circa";"circa";"circa";"circa";"circa";"ungefähr, rund, circa";"ungefähr, rund, circa";"environ";"environ";"circa";"circa";"about, roughly, approximately";"about, roughly, approximately, circa";"";"Adverb";"adverb";"meinpledari";1259
